'id_izdelka','ime_izdelka','firma','okus','redna_cena','teza'
-,'cokolada','choceur','mlecna_cokolada_s_celimi_mandlji',1.99,'300_g'
-,'cokolada','milka','mlecna',1.09,'100_g'
-,'cokolada','milka','celi_lesniki',1.08,'100_g'
-,'cokolada','milka','mlecna_mmmax',2.89,'300_g'
-,'cokolada','milka','celi_lesniki',2.89,'300_g'
-,'cokolada','milka','nuss_nougat_creme',2.89,'300_g'
-,'cokolada','milka','choco_biscuit',2.89,'300_g'
-,'cokolada','milka','nuss_nougat_creme',2.89,'300_g'
-,'moka','happy_harvest','namenska_moka_za_domace_pecivo,0.47,'1_kg'
-,'moka','happy_harvest','gladka_psenicna_moka,0.47,'1_kg'
-,'kruh','hofer','ajdov_kruh_z_orehi',1.99,'0.4_kg'
-,'kruh','hofer','pirin_polnozrnati_kruh',1.49,'0.4_kg'
-,'kruh','hofer','kraljevi_hlebcek',1.49,'0.5_kg'
-,'kruh','hofer','proteinski_kruh_s_chia_semeni',1.89,'0.4_kg'
-,'kruh','hofer','ovsena_kajzerica',0.29,'0.06_kg'
-,'kruh','hofer','pirina_strucka',0.39,'0.08_kg'
-,'kruh','hofer','ajdov_kruh_z_orehi',1.99,'0.4_kg'
-,'kruh','hofer','temna_struca',0.99,'0.5_kg'
-,'kruh','hofer','koruzna_strucka',0.69,'0.1_kg'
-,'kruh','hofer','veczrnata_strucka',0.49,'0.1_kg'
-,'pivo','staropramen','granat_plocevinka',0.95,'0.5_l'
-,'pivo','staropramen','nefiltrirano_plocevinka',0.95,'0.5_l'
-,'pivo','lasko','svetlo_pivo_plocevinka',0.97,'0.5_l'
-,'pivo','union','svetlo_pivo_plocevinka',0.97,'0.5_l'
-,'pivo','bergkonig','svetlo_nefiltrirano_plocevinka',0.79,'0.5_l'
-,'pivo','bergkonig','svetlo_pivo_plocevinka',0.69,'0.5_l'
-,'pivo','bergkonig','svetlo_pivo_plocevinka',0.69,'0.5_l'
-,'sok','happy_fruits','breskva_nektar',0.69,'1_l'
-,'sok','happy_fruits','pijaca_iz_breskev',0.49,'1_l'
-,'sok','happy_fruits','jegoa_nektar',1.19,'1.5_l'
-,'sok','pure_fruits','pomaranca',0.79,'1_l'
-,'sok','happy_fruits','jabolko_pomaranca_nektar',0.79,'1_l'
-,'sok','sola','ledeni_caj_breskev',0.94,'1.5_l'
-,'energijska_pijaca','red_bull','navadna',1.69,'0.355_l'
-,'energijska_pijaca','red_bull','brez_sladkorja',1.69,'0.355_l'
-,'sadje','derby','banana',1.29,'1_kg'
-,'sadje','-','melona_galia',0.99,'1_kg'
-,'sadje','bio','limona',1.19,'0.3_kg'
-,'sadje','-','breskce_premium',2.99,'1_kg'
-,'sadje','evrosad','jabolka_rdeca_slovenska',1.99,'2_kg'
-,'sadje','-','nektarine',2.99,'1_kg'
-,'sadje','-','marelice',2.89,'1_kg'
-,'zelenjava','-','rdeca_paprika',1.59,'0.5_kg'
-,'zelenjava','-','slovenska_solata_kristalka',0.89,'1_kos'
-,'zelenjava','-','paradiznik',1.69,'1_kg'
-,'zelenjava','-','datljev_paradiznik',1.99,'0.5_kg'
-,'zelenjava','-','cebula_bela',1.69,'1_kg'
-,'zelenjava','-','cesen',1.99,'0.4_kg'
-,'zelenjava','-','bucke',0.99,'1_kg'
-,'zelenjava','-','gobe',1.19,'0.5_kg'
-,'zelenjava','-','krompir',1.99,'2_kg'
-,'sladoled','grandessa','cookie_double_trouble',2.15,'0.5_l'
-,'sladoled','grandessa','cookie_dough',2.15,'0.5_l'
-,'sladoled','grandessa','nut_loves_choco',2.15,'0.5_l'
-,'sladoled','grandessa','caramel_love',2.15,'0.5_l'
-,'sladoled','grandessa','vanilija',2.79,'2_l'
-,'sladoled','grandessa','jagoda',2.79,'2_l'
-,'sladoled','grandessa','cokolada',2.79,'2_l'
-,'sladoled','grandessa','pistacija',2.79,'2_l'
-,'sladoled','grandessa','lesnik',2.79,'2_l'
-,'sladoled','grandessa','piskotek',2.79,'2_l'
-,'cips','snack_fun','paprika_bazilika',1.19,'0.13_kg'
-,'cips','snack_fun','slani_v_tulcu',0.99,'0.175_kg'
-,'cips','snack_fun','paprika_v_tulcu',0.99,'0.175_kg'
-,'cips','snack_fun','kisla_smetana_v_tulcu',0.99,'0.175_kg'
-,'cips','snack_fun','slani_rebrast',0.87,'0.2_kg'
-,'smoki','smoki','party_pack',1.75,'0.225_l'
-,'namaz','ferrero','nutella',4.89,'0.7_kg'
