'id_izdelka','ime_izdelka','firma','okus','redna_cena','teza'
-,'cokolada','fin_carre','mlecna_z_lesniki',0.49,'100_g'
-,'mleko','lejko_mlejko',"'3,5%'",0.75,'1_l'
-,'kruh','mlinotest','rustikalna_bela_struca',0.99,'0.4_kg'
-,'pivo','deep','svetlo_pivo_plocevinka',0.49,'0.5_l'
-,'pivo','argus','brezalkoholno_plocevinka',0.49,'0.5_l'
-,'sok','solevita','pomaranca',1.49,'2_l'
-,'sadje','-','lubenica',0.89,'1_kg'
-,'sadje','-','breskve',2.49,'1_kg'
-,'sadje','-','slive',1.99,'1_kg'
-,'sladoled','gelatelli','bourbon_vanilla',2.45,'2.5_l'
