'id_izdelka','ime_izdelka','firma','okus','redna_cena','teza'
-,'cokolada','milka','mlecna',1.19,'100_g'
-,'cokolada','milka','celi_lesniki',1.14,'100_g'
-,'cokolada','milka','bela',1.19,'100_g'
-,'mleko','alpsko_mleko',"'3,5%'",1.14,'1_l'
-,'mleko','alpsko_mleko',"'1,5%'",1.14,'1_l'
-,'mleko','lejko_mlejko',"'1,5%'",0.99,'1_l'
-,'mleko','trajno_mleko',"'3,5%'",1.13,'1_l'
-,'mleko','trajno_mleko',"'1,5%'",1.14,'1_l'
-,'moka','mlin_katic','psenicna_posebna_bela_moka',0.74,'1_kg'
-,'moka','mlin_katic','psenicna_bela_moka',0.65,'1_kg'
-,'moka','mlin_katic','ajdova_moka',2.99,'1_kg'
