'id_izdelka','ime_izdelka','firma','okus','redna_cena','teza'
-,'cokolada','milka','mlecna',1.19,'100_g'
-,'cokolada','milka','lomljeni_lesnik',1.19,'100_g'
-,'cokolada','milka','oreo',1.19,'100_g'
-,'mleko','lejko_mlejko',"'3,5%'",1.04,'1_l'
-,'moka','mlinostest','psenicna_manitoba_0,1.29,'1_kg'
-,'moka','mlinostest','psenicna_manitoba_00,1.29,'1_kg'
-,'moka','zito','psenicna_posebna_bela_moka',0.96,'1_kg'
-,'kruh','zito','hribovc_s_cebulo',2.19,'0.5_kg'
-,'kruh','pekarna_gersak','koreninica_s_semeni',1.09,'120_g'
-,'sok','fructal','borovnica_superior',2.49,'1_l'
-,'sok','fructal','borovnica',1.29,'1_l'
-,'sok','fructal','crni_ribez_superior',1.79,'1_l'
-,'sok','fructal','crni_ribez_granatno_jabolko',1.09,'1_l'
-,'sok','fructal','hruska_superior',1.59,'1_l'
-,'sok','fructal','hruska',1.45,'1.5_l'
-,'sok','fructal','marelica_superior',1.69,'1_l'
-,'sok','fructal','marelica',1.09,'1_l'
-,'sok','fructal','jagoda_superior',2.25,'1_l'
-,'sok','fructal','jagoda_jabolko_aronija',1.55,'1.5_l'
-,'sok','fructal','ananas_superior',2.19,'1_l'
-,'sok','fructal','breskev_superior',1.69,'1_l'
-,'sok','fructal','breskev',1.09,'1_l'
-,'sok','fructal','breskev',1.45,'1.5_l'
-,'sok','sola','ledeni_caj_breskev',0.99,'1.5_l'
-,'sok','sola','ledeni_caj_breskev',0.59,'0.5_l'
-,'sok','sola','ledeni_caj_breskev',0.59,'0.33_l'
-,'sok','mercator','ledeni_caj_breskev',0.52,'1.5_l'
-,'sok','sola','ledeni_caj_brusnica',0.99,'1.5_l'
-,'sok','fructal','ledeni_caj_breskev',1.09,'1.5_l'
-,'sok','fructal','ledeni_caj_breskev',0.60,'0.5_l'
-,'sadje','derby','ameriske_borovnice',3.99,'250_g'
-,'sadje','-','ananas',1.39,'1_kg'
-,'sadje','-','belo_grozdje',3.39,'1_kg'
-,'sadje','-','nektarine',1.99,'1_kg'
-,'sadje','-','breskve',1.59,'1_kg'
-,'sadje','-','lubenica',0.59,'1_kg'
-,'zelenjava','-','mlado_zelje',0.89,'1_kg'
-,'zelenjava','-','kumare',0.89,'1_kg'
-,'zelenjava','kresnik_kiflicar','krompir',1.99,'1_kg'
-,'zelenjava','-','zeleni_strocji_fizol',3.39,'1_kg'
-,'zelenjava','-','paprika_zelena',1.79,'1_kg'
-,'zelenjava','grapolo','paradiznik_v_grozdih',2.19,'0.25_kg'
-,'sladoled','carte_dor','cookies_cream_flavour',5.79,'0.9_l'
-,'sladoled','carte_dor','stracciatella',5.79,'0.9_l'
-,'sladoled','carte_dor','yoghurt_forest:fruit',5.79,'0.9_l'
-,'sladoled','leone','kornet_rainbow_unicorn_cones',2.39,'0.540_l'
-,'sladoled','leone','kornet_black_cones',2.39,'0.540_l'
-,'sladoled','leone','kornet_incom_leone',2.39,'0.540_l'
-,'sladoled','leone','paw_patrol',2.29,'0.360_l'
-,'sladoled','ledo','highlife_vanilija',4.49,'0.46_l'
-,'sladoled','ledo','highlife_cokolada',4.49,'0.46_l'
-,'sladoled','tus','bourbon_vanilija',2.99,'2_l'
-,'sladoled','tus','cokolada_vanilija_lesnik_stracciatella',3.59,'1.65_l'
-,'sladoled','tus','piskotek_cokolada_bela_cokolada_kikiriki',3.59,'1.65_l'
-,'cips','chio','paprika',2.99,'0.250_kg'
-,'cips','chio','slan',2.99,'0.250_kg'
