'id_izdelka','ime_trgovine','ime_izdelka','firma','okus','redna_cena','teza'
1601345,spar,'cokolada','milka','mlecna',1.19,'100_g'
1120953,spar,'cokolada','milka','celi_lesniki',1.14,'100_g'
5028501,spar,'cokolada','milka','bela',1.19,'100_g'
2583516,spar,'mleko','alpsko_mleko',""'3,5%'"",1.14,'1_l'"
8621949,spar,'mleko','alpsko_mleko',""'1,5%'"",1.14,'1_l'"
1104564,spar,'mleko','lejko_mlejko',""'1,5%'"",0.99,'1_l'"
2173748,spar,'mleko','trajno_mleko',""'3,5%'"",1.13,'1_l'"
2402879,spar,'mleko','trajno_mleko',""'1,5%'"",1.14,'1_l'"
9371138,spar,'moka','mlin_katic','psenicna_posebna_bela_moka',0.74,'1_kg'
8116241,spar,'moka','mlin_katic','psenicna_bela_moka',0.65,'1_kg'
8729865,spar,'moka','mlin_katic','ajdova_moka',2.99,'1_kg'
9809501,spar,'kruh','zito','ajdov_kruh_z_orehi',1.99,'0.4_kg'
3058684,spar,'kruh','zito','jelenov_mesani',3.55,'1_kg'
8484568,spar,'kruh','zito','zlati_hlebec_crni',3.75,'1_kg'
4614937,spar,'pivo','union','svetlo_pivo_steklenica',1.14,'0.5_l'
8327963,spar,'pivo','union','svetlo_pivo_plocevinka',1.09,'0.5_l'
8973101,spar,'pivo','union','svetlo_pivo_steklenica',0.94,'0.33_l'
5944949,spar,'pivo','lasko','svetlo_pivo_steklenica',1.14,'0.5_l'
7134673,spar,'pivo','lasko','svetlo_pivo_plocevinka',1.09,'0.5_l'
6394551,spar,'pivo','lasko','svetlo_pivo_steklenica',0.94,'0.33_l'
4402784,spar,'pivo','union','nefiltrirano_steklenica',1.24,'0.5_l'
1858541,spar,'pivo','union','nefiltrirano_plocevinka',1.29,'0.5_l'
3163870,spar,'pivo','heineken','brezalkoholno_0.0_plocevinka',0.99,'0.33_l'
1500215,spar,'pivo','union','brezalkoholno_0.0_steklenica',0.67,'0.5_l'
9810870,spar,'pivo','union','brezalkoholno_0.0_plocevinka',0.73,'0.5_l'
8167004,spar,'pivo','heineken','svetlo_pivo_plocevinka',0.99,'0.33_l'
7294522,spar,'pivo','union','temno_nefiltrirano_steklenica',1.29,'0.5_l'
5567787,spar,'pivo','union','temno_nefiltrirano_plocevinka',1.36,'0.5_l'
8093623,spar,'sok','fructal','borovnica_superior',2.48,'1_l'
3514516,spar,'sok','fructal','crni_ribez_superior',1.40,'1_l'
3644391,spar,'sok','fructal','hruska_superior',1.55,'1_l'
2410750,spar,'sok','fructal','marelica_superior',1.55,'1_l'
8215855,spar,'sok','fructal','jagoda_superior',2.22,'1_l'
4804493,spar,'sok','fructal','ananas_superior',2.08,'1_l'
7399263,spar,'sok','fructal','breskev_superior',1.68,'1_l'
1804227,spar,'sok','sola','ledeni_caj_breskev',0.99,'1.5_l'
9551936,spar,'sok','sola','ledeni_caj_breskev',0.54,'0.5_l'
2787113,spar,'sok','sola','ledeni_caj_breskev',0.49,'0.33_l'
2127757,spar,'sok','spar','ledeni_caj_breskev',0.58,'1.5_l'
5265305,spar,'sok','s_budget','ledeni_caj_breskev',0.49,'1.5_l'
2415905,spar,'sok','sola','ledeni_caj_brusnica',0.99,'1.5_l'
9277142,spar,'sok','spar','ledeni_caj_brusnica',0.58,'1.5_l'
1520976,spar,'sok','fructal','ledeni_caj_breskev',1.09,'1.5_l'
7874388,spar,'sok','fructal','ledeni_caj_breskev',0.59,'0.5_l'
1973993,spar,'sadje','-','banana',1.29,'1_kg'
8092043,spar,'sadje','-','lubenica',0.69,'1_kg'
1567684,spar,'sadje','-','limona',1.99,'1_kg'
3276825,spar,'sadje','-','kivi',3.99,'1_kg'
4561373,spar,'sadje','-','melona',1.69,'1_kg'
6548595,spar,'sadje','-','marelice',2.49,'1_kg'
2682565,spar,'sadje','-','cesnje',5.99,'1_kg'
2836128,spar,'zelenjava','-','korenje',0.99,'1_kg'
4536237,spar,'zelenjava','-','ohrovt',1.39,'1_kg'
2952465,spar,'zelenjava','-','rdeca_paprika',2.49,'1_kg'
6212846,spar,'zelenjava','-','por',2.99,'1_kg'
3151477,spar,'zelenjava','-','solata_endivja',1.99,'1_kg'
7552487,spar,'zelenjava','-','cebula',0.89,'1_kg'
4190437,spar,'zelenjava','-','cesen',5.99,'1_kg'
3285779,spar,'zelenjava','-','rumena_paprika',2.99,'1_kg'
3431174,spar,'zelenjava','-','brokoli',2.49,'1_kg'
8105436,spar,'zelenjava','-','rdeci_radic',2.99,'1_kg'
9540973,spar,'zelenjava','-','paradiznik',1.99,'1_kg'
2965734,spar,'sladoled','ljubljanske_mlekarne','kakav_in_vanilija_otocec',3.95,'1_l'
9591606,spar,'sladoled','ljubljanske_mlekarne','cokolada_piran',4.18,'1_l'
9088905,spar,'sladoled','ljubljanske_mlekarne','vanilija_cokolada_piran',6.29,'2_l'
1747617,spar,'sladoled','ljubljanske_mlekarne','vanilija_jagoda_piran',6.29,'2_l'
8914323,spar,'sladoled','ledo','quattro_classic',3.99,'0.9_l'
2031109,spar,'sladoled','ledo','quattro_banana_split',3.99,'0.9_l'
5335159,spar,'sladoled','ledo','quattro_chocomania',3.99,'0.9_l'
4091359,spar,'sladoled','ledo','quattro_rhapsody',3.99,'0.9_l'
8363690,spar,'sladoled','ledo','quattro_jaffa',3.99,'0.9_l'
1032158,spar,'cips','chio','paprika',1.69,'0.125_kg'
5479720,spar,'cips','chio_exxtra','sol',1.69,'0.125_kg'
7395279,spar,'cips','chio','paprika',1.99,'0.150_kg'
2411530,spar,'cips','chio','s_sirom',1.99,'0.150_kg'
3725586,spar,'cips','chio','kisla_smetana_in_cebula',1.99,'0.150_kg'
7781501,spar,'cips','chio','slan',1.51,'0.150_kg'
5190074,spar,'cips_tortilija','spar','koruzna',0.89,'0.125_kg'
8280110,spar,'cips','spar','paprika',1.05,'0.170_kg'
9382283,spar,'namaz','ferrero','nutella',4.89,'0.7_kg'
5212664,mercator,'cokolada','milka','mlecna',2.79,'250_g'
5742362,mercator,'cokolada','milka','celi_lesniki',1.14,'100_g'
4991690,mercator,'cokolada','milka','bela',1.24,'100_g'
6304932,mercator,'mleko','alpsko_mleko',""'3,5%'"",1.14,'1_l'"
6127039,mercator,'mleko','alpsko_mleko',""'1,5%'"",1.14,'1_l'"
2439940,mercator,'mleko','trajno_mlekO_zelene_doline',""'3,5%'"",1.19,'1_l'"
5612442,mercator,'mleko','trajno_mlekO_zelene_doline',""'1,5%'"",1.14,'1_l'"
4019845,mercator,'moka','mlin_katic','psenicna_bela_moka',0.66,'1_kg'
4963682,mercator,'moka','mlinotest','psenicna_mehka_moka',1.19,'1_kg'
4018842,mercator,'kruh','zito','ajdov_kruh_z_orehi',2.19,'0.4_kg'
1885796,mercator,'kruh','zito','polbeli_jelenov_kruh',3.39,'1_kg'
9058644,mercator,'kruh','zito','stoletni_kruh_s_semeni',3.59,'0.75_kg'
3269329,mercator,'kruh','zito','mesani_hlebec_hribovc',3.49,'1_kg'
1840613,mercator,'kruh','zito','mesani_koruzni_kruh',1.59,'0.5_kg'
2127534,mercator,'kruh','zito','polnozrnati_jelenov_kruh',3.39,'1_kg'
9515201,mercator,'kruh','zito','mesani_kruh_krusnik',2.79,'0.75_kg'
7782184,mercator,'kruh','zito','jelenov_beli_kruh',3.39,'1_kg'
4723684,mercator,'kruh','zito','beli_kruh_hribovc',3.49,'1_kg'
2214889,mercator,'pivo','union','svetlo_pivo_steklenica',1.14,'0.5_l'
2266918,mercator,'pivo','union','svetlo_pivo_plocevinka',1.09,'0.5_l'
9622401,mercator,'pivo','union','svetlo_pivo_steklenica',0.94,'0.33_l'
4470403,mercator,'pivo','lasko','svetlo_pivo_steklenica',1.14,'0.5_l'
1161789,mercator,'pivo','lasko','svetlo_pivo_plocevinka',1.09,'0.5_l'
7736979,mercator,'pivo','lasko','svetlo_pivo_steklenica',0.94,'0.33_l'
1792236,mercator,'pivo','union','nefiltrirano_steklenica',1.24,'0.5_l'
3977156,mercator,'pivo','union','nefiltrirano_plocevinka',1.29,'0.5_l'
3665082,mercator,'pivo','heineken','brezalkoholno_0.0_plocevinka',0.99,'0.33_l'
1788491,mercator,'pivo','union','brezalkoholno_0.0_plocevinka',0.73,'0.5_l'
2049818,mercator,'pivo','heineken','svetlo_pivo_plocevinka',0.99,'0.33_l'
9974486,mercator,'pivo','heineken','svetlo_pivo_plocevinka',1.29,'0.5_l'
4195689,mercator,'pivo','union','temno_nefiltrirano_steklenica',1.29,'0.5_l'
9247848,mercator,'pivo','union','temno_nefiltrirano_plocevinka',1.34,'0.5_l'
4258783,mercator,'sok','fructal','borovnica_superior',2.49,'1_l'
5731184,mercator,'sok','fructal','borovnica',1.29,'1_l'
7271627,mercator,'sok','fructal','crni_ribez_superior',1.79,'1_l'
3773458,mercator,'sok','fructal','crni_ribez_granatno_jabolko',1.09,'1_l'
5217820,mercator,'sok','fructal','hruska_superior',1.59,'1_l'
9106118,mercator,'sok','fructal','hruska',1.45,'1.5_l'
5198798,mercator,'sok','fructal','marelica_superior',1.69,'1_l'
7663791,mercator,'sok','fructal','marelica',1.09,'1_l'
7047685,mercator,'sok','fructal','jagoda_superior',2.25,'1_l'
2324949,mercator,'sok','fructal','jagoda_jabolko_aronija',1.55,'1.5_l'
4301805,mercator,'sok','fructal','ananas_superior',2.19,'1_l'
6039792,mercator,'sok','fructal','breskev_superior',1.69,'1_l'
2341008,mercator,'sok','fructal','breskev',1.09,'1_l'
4885922,mercator,'sok','fructal','breskev',1.45,'1.5_l'
7584173,mercator,'sok','sola','ledeni_caj_breskev',0.99,'1.5_l'
8979965,mercator,'sok','sola','ledeni_caj_breskev',0.59,'0.5_l'
1354351,mercator,'sok','sola','ledeni_caj_breskev',0.59,'0.33_l'
4360729,mercator,'sok','mercator','ledeni_caj_breskev',0.52,'1.5_l'
1087766,mercator,'sok','sola','ledeni_caj_brusnica',0.99,'1.5_l'
5655984,mercator,'sok','fructal','ledeni_caj_breskev',1.09,'1.5_l'
1216380,mercator,'sok','fructal','ledeni_caj_breskev',0.60,'0.5_l'
